TC,LOC,SC,E
org.apache.commons.csv.CSVPrinterTest#testCSV135,11,1,166.019485
org.apache.commons.csv.CSVPrinterTest#testPrinter3,7,6,161.444885
org.apache.commons.csv.CSVFormatPredefinedTest#testExcel,3,0,162.16066
org.apache.commons.csv.CSVParserTest#testExcelHeaderCountLessThanData,11,7,162.597519
org.apache.commons.csv.CSVFormatTest#testEqualsEscape,5,9,168.1185
org.apache.commons.csv.CSVRecordTest#testGetUnmappedName,3,2,158.938919
org.apache.commons.csv.CSVParserTest#testEmptyFileHeaderParsing,6,6,166.035706
org.apache.commons.csv.CSVFormatTest#testDuplicateHeaderElements_Deprecated,6,6,163.586624
org.apache.commons.csv.CSVPrinterTest#testDelimeterStringQuoteNone,10,6,169.359604
org.apache.commons.csv.CSVPrinterTest#testHeaderCommentTdf,8,3,171.685562
org.apache.commons.csv.ExtendedBufferedReaderTest#testReadChar,27,22,161.353943
org.apache.commons.csv.CSVPrinterTest#testEscapeNull2,7,6,162.441772
org.apache.commons.csv.CSVPrinterTest#testExcelPrintAllArrayOfArrays,7,6,165.860764
org.apache.commons.csv.CSVFormatTest#testEqualsIgnoreEmptyLines_Deprecated,5,9,162.715347
org.apache.commons.csv.issues.JiraCsv264Test#testJiraCsv264,6,0,178.874634
org.apache.commons.csv.CSVPrinterTest#testPrintRecordsWithEmptyVector,16,3,169.241852
org.apache.commons.csv.CSVPrinterTest#testMongoDbCsvTabInValue,7,6,166.979309
org.apache.commons.csv.CSVParserTest#testParseWithDelimiterStringWithEscape,12,10,168.606689
org.apache.commons.csv.CSVFormatPredefinedTest#testMongoDbCsv,3,0,161.551453
org.apache.commons.csv.CSVRecordTest#testToListFor,7,3,159.404678
org.apache.commons.csv.CSVFileParserTest#testCSVFile,42,0,160.70723
org.apache.commons.csv.issues.JiraCsv288Test#testParseWithTwoCharDelimiter1,10,0,156.621506
org.apache.commons.csv.CSVPrinterTest#testDelimiterStringEscaped,8,6,170.385818
org.apache.commons.csv.LexerTest#testNextToken6,8,4,166.685593
org.apache.commons.csv.CSVParserTest#testTrim,11,9,170.343216
org.apache.commons.csv.LexerTest#testIsMetaCharCommentStart,6,3,179.379578
org.apache.commons.csv.CSVPrinterTest#testJira135_part1,13,7,162.639755
org.apache.commons.csv.CSVParserTest#testGetRecordPositionWithLF,3,1,178.323425
org.apache.commons.csv.issues.JiraCsv290Test#testPostgresqlCsv,3,0,161.073776
org.apache.commons.csv.CSVParserTest#testParseNullStringFormat,3,1,170.828659
org.apache.commons.csv.CSVParserTest#testBOMInputStream_ParserWithInputStream,5,3,167.545227
org.apache.commons.csv.issues.JiraCsv149Test#testJiraCsv149EndWithEOL,3,0,161.161362
org.apache.commons.csv.CSVPrinterTest#testMySqlNullStringDefault,3,1,168.508423
org.apache.commons.csv.issues.JiraCsv288Test#testParseWithTwoCharDelimiter3,10,0,159.836899
org.apache.commons.csv.CSVPrinterTest#testEscapeBackslash4,7,6,187.234146
org.apache.commons.csv.CSVParserTest#testProvidedHeaderAuto,18,18,166.311142
org.apache.commons.csv.CSVPrinterTest#testQuoteAll,7,6,164.701202
org.apache.commons.csv.CSVPrinterTest#testEscapeBackslash2,7,6,169.803131
org.apache.commons.csv.issues.JiraCsv93Test#testWithNotSetNullString,8,0,164.855347
org.apache.commons.csv.CSVParserTest#testParseWithDelimiterWithQuote,9,5,163.436462
