TC,LOC,SC,E,P,T,ESLoc,PSLoc,TSLoc,AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.dbutils.StatementConfigurationTest#testEmptyBuilder,8,12,176.510956,11.952343,14.852724,117.67397066666666,7.9682286666666675,9.901816,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
org.apache.commons.dbutils.QueryRunnerTest#testGoodInsert,13,1,219.952164,12.010997,18.291875,2859.378132,156.14296099999999,237.794375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyResultSetThrowingException,5,3,210.354385,11.92828,17.634931,350.59064166666667,19.88046666666667,29.391551666666672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.QueryRunnerTest#testGoodUpdatePmdTrue,4,2,220.554459,12.003765,18.373774,441.108918,24.00753,36.747548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.properties.DatePropertyHandlerTest#testNotMatch,4,2,179.21228,11.960823,14.950112,358.42456,23.921646,29.900224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.DbUtilsTest#rollbackAndCloseQuietlyWithException,7,3,204.070374,11.989722,16.94925,476.164206,27.976018000000003,39.54825,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#commitAndCloseQuietly,6,3,199.780396,12.070068,16.551721,399.560792,24.140136,33.103442,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnectionThrowingExceptionResultSetStatement,10,3,210.054855,11.979451,17.556122,700.18285,39.93150333333333,58.520406666666666,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.columns.ByteColumnHandlerTest#testApplyType,4,1,211.458817,11.979432,17.676197,845.835268,47.917728,70.704788,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#rollback,5,3,203.777054,11.992063,17.068349,339.62842333333333,19.986771666666666,28.447248333333338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.properties.DatePropertyHandlerTest#testApplyTypeOfTime,3,2,173.847473,11.922377,14.566098,260.77120950000005,17.8835655,21.849147000000002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testTooFewParamsBatch,4,1,223.833664,12.008975,18.667577,895.334656,48.0359,74.670308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.columns.IntegerColumnHandlerTest#testMatchNegative,3,1,207.185013,11.991559,17.284911,621.5550390000001,35.97467700000001,51.854733,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.QueryRunnerTest#testNullParamsBatch,4,1,228.539597,12.007771,19.021796,914.158388,48.031084,76.087184,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodQueryDefaultConstructor,4,1,222.909988,11.984747,18.599474,891.639952,47.938988,74.397896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testGoodBatch,4,1,234.54393,12.039483,19.481229,938.17572,48.157932,77.924916,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.properties.DatePropertyHandlerTest#testApplyTypeOfTimestamp,3,2,179.104126,11.984056,14.941285,268.65618900000004,17.976084000000004,22.4119275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testTooManyParamsBatch,4,1,224.995071,12.037282,18.691518,899.980284,48.149128,74.766072,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyNullResultSet,3,3,176.562042,11.925018,14.84895,176.562042,11.925018,14.84895,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#rollbackAndCloseNull,3,3,177.676636,11.961224,14.845747,177.676636,11.961224,14.845747,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#rollbackAndCloseWithException,12,3,202.960876,11.995663,16.928984,811.843504,47.982652,67.715936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeNullResultSet,3,3,184.610901,11.944639,15.444878,184.610901,11.944639,15.444878,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.QueryRunnerTest#testGoodUpdateDefaultConstructor,4,2,226.166733,11.974387,18.904833,452.333466,23.948774,37.809666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.GenerousBeanProcessorTest#testMapColumnsToPropertiesWithOutUnderscores,13,13,198.931107,11.953322,16.663687,198.931107,11.953322,16.663687,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.handlers.BeanMapHandlerTest#testBeanMapHandlerClassOfVRowProcessor,4,1,211.157043,11.956313,17.635982,844.628172,47.825252,70.543928,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.QueryRunnerTest#testGoodBatchDefaultConstructor,5,3,215.090775,12.005415,17.916147,358.48462500000005,20.009025,29.860245,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodUpdateDefaultConstructor,4,1,217.13797,12.015587,18.071358,868.55188,48.062348,72.285432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testGoodExecuteWithResultSetPmdTrue,4,2,217.234787,11.985758,18.191189,434.469574,23.971516,36.382378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.OutParameterTest#testSetValue,5,1,208.834656,12.03511,17.352118,1044.17328,60.175549999999994,86.76059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnectionResultSetStatement,9,3,207.282043,11.98799,17.290808,621.846129,35.96397,51.872423999999995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
