testcase,loc,median_elapsed_time,median_power,median_energy_consumed
com.google.gson.JsonArrayAsListTest#testAdd,37,15.865809,11.836645,188.827408
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllJavaExtendingJdkClass,10,15.906804,11.885714,188.883179
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseInvalidTime,9,16.621478,12.23659,203.349808
com.google.gson.JsonObjectAsMapTest#testRemove,14,16.095488,11.833291,191.460861
com.google.gson.JsonObjectTest#testKeySet,23,16.095471,11.892652,191.417831
com.google.gson.JsonObjectAsMapTest#testViewUpdates,10,15.995042,11.903522,190.473236
com.google.gson.GsonBuilderTest#testExcludeFieldsWithModifiers,4,15.868833,11.805231,188.519211
com.google.gson.JsonArrayAsListTest#testToArray,14,15.989434,11.902798,190.889618
com.google.gson.JsonObjectAsMapTest#testClear,8,16.064693,11.840969,190.221527
com.google.gson.JsonArrayTest#testCharPrimitiveAddition,11,15.791912,11.896883,187.620575
com.google.gson.functional.Java17RecordTest#testObjectDefaultValue,6,14.840203,11.877351,176.492615
com.google.gson.functional.Java17RecordTest#testReflectionFilterBlockInaccessible,9,14.840355,11.833489,175.61319
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesSerialization,8,16.062963,11.867072,190.652466
com.google.gson.JsonArrayAsListTest#testSet,28,15.874734,11.865574,188.232117
com.google.gson.functional.Java17RecordTest#testMultipleNamesDeserializedCorrectly,6,14.973965,11.834304,176.435776
com.google.gson.graph.GraphAdapterBuilderTest#testSerialization,12,15.660604,11.883622,184.910904
com.google.gson.internal.JavaVersionTest#testJava8,9,16.004248,11.91973,190.107224
com.google.gson.internal.bind.Java17ReflectiveTypeAdapterFactoryTest#testSerializeRecords,10,14.778384,11.896424,175.809921
com.google.gson.internal.JavaVersionTest#testJava9,8,15.999914,11.847798,189.39711
com.google.gson.functional.VersioningTest#testVersionedClassesSerialization,6,15.978153,11.857805,188.386032
com.google.gson.internal.bind.Java17ReflectiveTypeAdapterFactoryTest#testCustomAdapterForRecords,6,14.95673,11.910994,178.628998
com.google.gson.functional.Java17RecordTest#testThrowingAccessor,7,14.841608,11.908344,176.190582
com.google.gson.functional.Java17RecordTest#testFirstNameIsChosenForSerialization,4,14.776621,11.806419,174.388947
com.google.gson.stream.JsonReaderPathTest#skipNestedStructures,7,15.7703,11.849765,186.817459
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testGsonFutureAdapter,6,15.999103,11.906641,190.581818
com.google.gson.internal.reflect.Java17ReflectionHelperTest#testJava17RecordAccessors,12,14.737744,11.838033,174.465897
com.google.gson.JsonArrayTest#testBooleanPrimitiveAddition,10,15.795863,11.82196,186.738068
com.google.gson.functional.Java17RecordTest#testRecordBaseClass,7,14.764193,11.837217,174.717789
com.google.gson.functional.ParameterizedTypesTest#testVariableTypeFieldsAndGenericArraysDeserialization,15,15.962686,11.866348,188.783127
com.google.gson.JsonObjectAsMapTest#testEqualsHashCode,8,15.946104,11.857727,188.481979
com.google.gson.JsonObjectAsMapTest#testContainsKey,8,16.041956,11.88659,190.913635
com.google.gson.JsonArrayAsListTest#testEqualsHashCode,8,16.064431,11.925307,190.988327
com.google.gson.TypeAdapterTest#testFromJson_String_TrailingData,3,15.992923,11.885958,190.046265
com.google.gson.JsonArrayTest#testSameAddition,14,15.868344,11.869694,187.450668
com.google.gson.stream.JsonReaderPathTest#skipObjectEnd,11,15.909014,11.838253,189.19136
com.google.gson.GsonBuilderTest#testRegisterTypeAdapterForCoreType,6,15.979245,11.874615,188.630966
com.google.gson.functional.Java17RecordTest#testAccessorIsCalled,6,14.60315,11.90638,173.870651
